track_id,entry_time,exit_time,duration_seconds
2,2025-12-17 09:01:48,2025-12-17 09:02:43,54.98
4,2025-12-17 09:02:09,2025-12-17 09:02:51,42.39
3,2025-12-17 09:01:57,2025-12-17 09:03:01,64.19
5,2025-12-17 09:02:14,2025-12-17 09:03:02,48.03
7,2025-12-17 09:03:15,2025-12-17 09:04:00,45.74
8,2025-12-17 09:03:22,2025-12-17 09:04:08,46.46
9,2025-12-17 09:04:32,2025-12-17 09:05:49,76.92
10,2025-12-17 09:04:37,2025-12-17 09:05:54,76.76
11,2025-12-17 09:05:08,2025-12-17 09:05:54,45.94
0,2025-12-17 09:01:45,2025-12-17 09:06:04,258.91
12,2025-12-17 09:05:59,2025-12-17 09:06:33,33.87
13,2025-12-17 09:07:11,2025-12-17 09:08:00,49.75
15,2025-12-17 09:08:13,2025-12-17 09:08:54,41.26
14,2025-12-17 09:07:39,2025-12-17 09:09:13,93.24
16,2025-12-17 09:08:40,2025-12-17 09:09:17,37.71
17,2025-12-17 09:09:46,2025-12-17 09:10:45,59.53
6,2025-12-17 09:02:22,2025-12-17 09:10:46,504.9
18,2025-12-17 09:10:46,2025-12-17 09:11:22,35.54
20,2025-12-17 09:11:32,2025-12-17 09:12:31,58.61
19,2025-12-17 09:11:05,2025-12-17 09:13:01,116.3
22,2025-12-17 09:13:18,2025-12-17 09:13:50,32.07
21,2025-12-17 09:12:04,2025-12-17 09:14:31,147.26
25,2025-12-17 09:14:04,2025-12-17 09:14:31,26.94
24,2025-12-17 09:14:01,2025-12-17 09:14:39,38.0
27,2025-12-17 09:14:46,2025-12-17 09:15:21,34.99
28,2025-12-17 09:14:50,2025-12-17 09:15:23,33.24
30,2025-12-17 09:15:21,2025-12-17 09:15:51,29.63
23,2025-12-17 09:13:33,2025-12-17 09:15:57,143.67
29,2025-12-17 09:15:21,2025-12-17 09:15:57,35.32
31,2025-12-17 09:15:32,2025-12-17 09:16:06,34.55
32,2025-12-17 09:16:17,2025-12-17 09:16:55,38.66
33,2025-12-17 09:18:13,2025-12-17 09:18:47,33.97
26,2025-12-17 09:14:46,2025-12-17 09:18:51,245.01
35,2025-12-17 09:19:11,2025-12-17 09:20:05,54.03
36,2025-12-17 09:19:30,2025-12-17 09:20:17,47.64
37,2025-12-17 09:20:09,2025-12-17 09:20:35,25.88
38,2025-12-17 09:20:40,2025-12-17 09:21:13,33.05
40,2025-12-17 09:21:40,2025-12-17 09:22:02,21.57
34,2025-12-17 09:18:20,2025-12-17 09:22:18,237.53
41,2025-12-17 09:21:57,2025-12-17 09:22:20,22.98
42,2025-12-17 09:22:33,2025-12-17 09:23:10,36.76
43,2025-12-17 09:22:59,2025-12-17 09:23:24,25.3
44,2025-12-17 09:23:48,2025-12-17 09:24:16,28.03
39,2025-12-17 09:21:30,2025-12-17 09:24:18,167.8
47,2025-12-17 09:23:56,2025-12-17 09:24:29,33.0
48,2025-12-17 09:24:06,2025-12-17 09:24:40,33.81
1,2025-12-17 09:01:45,2025-12-17 09:24:41,1375.91
49,2025-12-17 09:25:51,2025-12-17 09:26:12,21.32
50,2025-12-17 09:25:54,2025-12-17 09:26:16,21.87
52,2025-12-17 09:26:45,2025-12-17 09:27:09,24.1
51,2025-12-17 09:26:31,2025-12-17 09:27:11,40.23
53,2025-12-17 09:26:47,2025-12-17 09:27:11,24.12
54,2025-12-17 09:26:53,2025-12-17 09:27:15,21.89
46,2025-12-17 09:23:54,2025-12-17 09:28:01,247.66
56,2025-12-17 09:27:56,2025-12-17 09:28:22,25.76
60,2025-12-17 09:28:32,2025-12-17 09:28:53,21.68
57,2025-12-17 09:27:57,2025-12-17 09:29:00,63.04
59,2025-12-17 09:28:32,2025-12-17 09:29:28,56.79
58,2025-12-17 09:28:32,2025-12-17 09:29:40,68.16
61,2025-12-17 09:29:03,2025-12-17 09:29:48,44.64
55,2025-12-17 09:27:37,2025-12-17 09:30:23,165.66
65,2025-12-17 09:30:00,2025-12-17 09:30:23,23.3
63,2025-12-17 09:29:58,2025-12-17 09:30:24,25.93
66,2025-12-17 09:30:35,2025-12-17 09:31:00,24.63
67,2025-12-17 09:30:46,2025-12-17 09:31:17,30.53
70,2025-12-17 09:31:03,2025-12-17 09:31:21,18.13
69,2025-12-17 09:31:03,2025-12-17 09:31:28,24.21
68,2025-12-17 09:30:50,2025-12-17 09:31:35,44.59
71,2025-12-17 09:31:09,2025-12-17 09:31:36,27.32
72,2025-12-17 09:31:42,2025-12-17 09:32:00,17.8
62,2025-12-17 09:29:56,2025-12-17 09:32:08,132.52
74,2025-12-17 09:32:08,2025-12-17 09:32:32,23.78
76,2025-12-17 09:32:20,2025-12-17 09:32:51,30.57
79,2025-12-17 09:32:37,2025-12-17 09:33:01,24.46
73,2025-12-17 09:32:08,2025-12-17 09:33:06,57.9
80,2025-12-17 09:32:54,2025-12-17 09:33:23,29.35
75,2025-12-17 09:32:15,2025-12-17 09:33:24,68.58
81,2025-12-17 09:33:16,2025-12-17 09:33:42,25.21
84,2025-12-17 09:33:48,2025-12-17 09:34:11,23.07
83,2025-12-17 09:33:47,2025-12-17 09:34:14,26.57
78,2025-12-17 09:32:35,2025-12-17 09:34:14,98.81
82,2025-12-17 09:33:31,2025-12-17 09:34:14,42.66
86,2025-12-17 09:34:15,2025-12-17 09:34:37,22.15
85,2025-12-17 09:34:15,2025-12-17 09:34:38,23.3
77,2025-12-17 09:32:24,2025-12-17 09:34:46,141.23
89,2025-12-17 09:34:27,2025-12-17 09:34:50,22.24
88,2025-12-17 09:34:21,2025-12-17 09:34:52,30.9
90,2025-12-17 09:34:55,2025-12-17 09:35:13,18.59
91,2025-12-17 09:35:16,2025-12-17 09:35:35,18.14
64,2025-12-17 09:29:58,2025-12-17 09:36:18,379.35
94,2025-12-17 09:36:12,2025-12-17 09:36:35,22.91
93,2025-12-17 09:36:10,2025-12-17 09:36:42,31.73
95,2025-12-17 09:36:38,2025-12-17 09:37:01,22.61
92,2025-12-17 09:35:53,2025-12-17 09:37:10,77.36
97,2025-12-17 09:36:56,2025-12-17 09:37:50,54.42
98,2025-12-17 09:37:32,2025-12-17 09:38:18,45.82
100,2025-12-17 09:38:16,2025-12-17 09:38:34,17.93
99,2025-12-17 09:38:03,2025-12-17 09:38:38,34.9
87,2025-12-17 09:34:15,2025-12-17 09:39:30,315.06
102,2025-12-17 09:38:56,2025-12-17 09:39:36,39.31
103,2025-12-17 09:39:24,2025-12-17 09:39:50,25.45
105,2025-12-17 09:39:33,2025-12-17 09:39:52,18.39
101,2025-12-17 09:38:54,2025-12-17 09:39:57,62.41
104,2025-12-17 09:39:32,2025-12-17 09:40:03,31.15
96,2025-12-17 09:36:49,2025-12-17 09:40:16,206.48
109,2025-12-17 09:40:55,2025-12-17 09:41:25,30.3
110,2025-12-17 09:41:01,2025-12-17 09:41:26,25.18
111,2025-12-17 09:41:12,2025-12-17 09:41:51,38.89
106,2025-12-17 09:39:45,2025-12-17 09:42:01,136.43
114,2025-12-17 09:41:47,2025-12-17 09:42:07,19.6
115,2025-12-17 09:41:47,2025-12-17 09:42:16,28.16
112,2025-12-17 09:41:38,2025-12-17 09:42:16,38.77
116,2025-12-17 09:42:11,2025-12-17 09:42:33,22.09
113,2025-12-17 09:41:38,2025-12-17 09:42:41,63.32
117,2025-12-17 09:42:27,2025-12-17 09:42:46,19.2
118,2025-12-17 09:42:29,2025-12-17 09:43:01,31.83
45,2025-12-17 09:23:54,2025-12-17 09:43:27,1173.12
108,2025-12-17 09:40:55,2025-12-17 09:43:59,184.07
107,2025-12-17 09:40:22,2025-12-17 09:44:06,223.91
123,2025-12-17 09:44:38,2025-12-17 09:44:57,18.74
119,2025-12-17 09:43:29,2025-12-17 09:45:07,97.71
126,2025-12-17 09:44:57,2025-12-17 09:45:16,18.79
121,2025-12-17 09:43:39,2025-12-17 09:45:21,102.08
120,2025-12-17 09:43:38,2025-12-17 09:45:30,111.85
127,2025-12-17 09:45:13,2025-12-17 09:45:32,19.17
122,2025-12-17 09:44:34,2025-12-17 09:46:06,92.5
130,2025-12-17 09:45:57,2025-12-17 09:46:16,18.55
129,2025-12-17 09:45:51,2025-12-17 09:46:44,53.85
128,2025-12-17 09:45:48,2025-12-17 09:46:57,69.47
136,2025-12-17 09:46:57,2025-12-17 09:47:21,24.32
